순위,컬럼,Pearson,Spearman,유효표본,미처리시Pearson
1,대출연체건수,-0.32664361566052486,-0.20526088134985646,100816,-0.32664361566052486
2,연체일수,-0.31016884976269465,-0.22065143144346525,100816,-0.31016884976269465
3,추정월소득,0.2804105349539261,0.4061758146666206,100816,0.2804105349539261
4,추정 연소득,0.26635437231217063,0.38576581310901037,100816,0.26635437231217063
5,총대출건수,-0.23952893196748612,-0.2456607300321531,100816,-0.23952893196748612
6,2년전 추정 연소득 금액,0.22108233384564233,0.30028393987751056,100816,0.22108233384564233
7,추정DTI,-0.18883521561166833,-0.14752788536106573,100816,-0.18883521561166833
8,카드연체건수,-0.17936028986615518,-0.11324673090109115,100816,-0.17936028986615518
9,최근 12개월 일시불이용금액,0.1760334796459422,0.30568625562760726,100816,0.1760334796459422
10,총자산평가금액(주택),0.16188526753210575,0.2168058601237617,100816,0.16188526753210575
